name,description,location,category,price_range,image_url
Mactan Newtown Beach,Formerly known as Portofino Resort with premium beachfront,Lapu-Lapu,beach,500-1000,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=400
Crimson Resort & Spa,Luxury beachfront resort with world-class amenities,Mactan,resort,8000-15000,https://images.unsplash.com/photo-1571896349842-33c89424de2d?w=400
Shangri-La Mactan,5-star luxury resort with private beach,Lapu-Lapu,resort,10000-20000,https://images.unsplash.com/photo-1582719478250-c89cae4dc85b?w=400
JPark Island Resort,Large resort with waterpark and multiple pools,Lapu-Lapu,resort,6000-12000,https://images.unsplash.com/photo-1540541338287-41700207dee6?w=400
Plantation Bay Resort,Lagoon-style resort with Mediterranean architecture,Lapu-Lapu,resort,7000-14000,https://images.unsplash.com/photo-1566073771259-6a8506099945?w=400
Maribago Bluewater,Beachfront resort with island hopping tours,Lapu-Lapu,resort,4000-8000,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?w=400
STK ta Bay,Popular Cebuano seafood restaurant,Mactan,restaurant,300-600,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400
Lantaw Floating Native Restaurant,Floating restaurant with seafood specialties,Cordova,restaurant,250-500,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=400
Maribago Grill,Grilled seafood and local dishes,Lapu-Lapu,restaurant,200-400,https://images.unsplash.com/photo-1544025162-d76694265947?w=400
The Pyramid,International buffet restaurant,Cebu City,restaurant,500-800,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=400
Anzani,Fine dining Mediterranean cuisine,Cebu City,restaurant,800-1500,https://images.unsplash.com/photo-1551218808-94e220e084d2?w=400
Mactan Shrine,Historical landmark commemorating Lapu-Lapu victory,Lapu-Lapu,historical,Free,https://images.unsplash.com/photo-1564760055775-d63b17a55c44?w=400
Magellan's Cross,Historic cross planted by Ferdinand Magellan,Cebu City,historical,Free,https://images.unsplash.com/photo-1548013146-72479768bada?w=400
Fort San Pedro,Spanish colonial fortress and museum,Cebu City,historical,30,https://images.unsplash.com/photo-1555881400-74d7acaacd8b?w=400
Basilica del Santo Nino,Oldest Roman Catholic church in the Philippines,Cebu City,historical,Free,https://images.unsplash.com/photo-1548625361-5e8f089307d2?w=400
Heritage of Cebu Monument,Tableau of Cebu history,Cebu City,historical,Free,https://images.unsplash.com/photo-1582407947304-fd86f028f716?w=400
Temple of Leah,Roman-inspired temple dedicated to love,Cebu City,attraction,50,https://images.unsplash.com/photo-1603481546938-e3fe608e5e95?w=400
Tops Lookout,Panoramic view of Cebu City and islands,Cebu City,attraction,100,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=400
Sirao Flower Garden,Instagram-worthy flower gardens,Cebu City,attraction,50,https://images.unsplash.com/photo-1490750967868-88aa4486c946?w=400
10000 Roses Cafe,Lighted rose garden cafe,Cordova,attraction,50,https://images.unsplash.com/photo-1518531933037-91b2f5f229cc?w=400
Olango Island Wildlife Sanctuary,Bird watching and mangrove sanctuary,Olango Island,attraction,50,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=400
Tambuli Beach,Public beach with clear waters,Lapu-Lapu,beach,50-100,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=400
Marigondon Beach,Local beach with cottages,Lapu-Lapu,beach,100-200,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=400
Talima Beach,White sand beach with shallow waters,Olango Island,beach,50,https://images.unsplash.com/photo-1519046904884-53103b34b206?w=400
Gilutungan Island,Marine sanctuary for snorkeling,Cordova,beach,300-500,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=400
Nalusuan Island,Marine sanctuary with dive sites,Cordova,beach,300-500,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=400
https://i.pinimg.com/736x/78/10/9f/78109fd230033f18f6156ae8d16d8414.jpg